path;type;value;min;max;[CC;channel]
/main/return_fx/mute;ecs;0;0;1
/main/return_fx/solo;ecs;0;0;1
/main/return_fx/bypass;ecs;0;0;1
/main/return_fx/panvol/pan;midi;50;0;100;27;1
/main/return_fx/panvol/volume_db;midi;-6;-60;6;28;1
/main/return_fx/aux_to/monitor1/pan;midi;50;0;100;94;1
/main/return_fx/aux_to/monitor1/volume_db;midi;-6;-60;6;95;1
/main/return_fx/aux_to/monitor2/pan;midi;50;0;100;96;1
/main/return_fx/aux_to/monitor2/volume_db;midi;-6;-60;6;97;1
/main/return_fx/aux_to/send_tcmone/pan;midi;50;0;100;98;1
/main/return_fx/aux_to/send_tcmone/volume_db;midi;-6;-60;6;99;1
/main/return_fx/aux_to/foh/pan;midi;50;0;100;92;1
/main/return_fx/aux_to/foh/volume_db;midi;-6;-60;6;93;1
/main/drums/mute;ecs;0;0;1
/main/drums/solo;ecs;0;0;1
/main/drums/bypass;ecs;0;0;1
/main/drums/panvol/pan;midi;50;0;100;25;1
/main/drums/panvol/volume_db;midi;-6;-60;6;26;1
/main/drums/aux_to/send_tcmone/pan;midi;50;0;100;90;1
/main/drums/aux_to/send_tcmone/volume_db;midi;-6;-60;6;91;1
/main/drums/aux_to/foh/pan;midi;50;0;100;84;1
/main/drums/aux_to/foh/volume_db;midi;-6;-60;6;85;1
/main/drums/aux_to/monitor2/pan;midi;50;0;100;88;1
/main/drums/aux_to/monitor2/volume_db;midi;-6;-60;6;89;1
/main/drums/aux_to/monitor1/pan;midi;50;0;100;86;1
/main/drums/aux_to/monitor1/volume_db;midi;-6;-60;6;87;1
/main/monitor1/mute;ecs;0;0;1
/main/monitor1/bypass;ecs;0;0;1
/main/monitor1/eq4b/Eq_on;midi;0;0;1;36;1
/main/monitor1/eq4b/Eq_Gain;midi;0;-20;20;37;1
/main/monitor1/eq4b/Band1_on;midi;0;0;1;38;1
/main/monitor1/eq4b/Band1_freq;midi;200;20;2000;39;1
/main/monitor1/eq4b/Band1_width;midi;1;0.125;8;40;1
/main/monitor1/eq4b/Band1_gain;midi;0;-20;20;41;1
/main/monitor1/eq4b/Band2_on;midi;0;0;1;42;1
/main/monitor1/eq4b/Band2_freq;midi;400;40;4000;43;1
/main/monitor1/eq4b/Band2_width;midi;1;0.125;8;44;1
/main/monitor1/eq4b/Band2_gain;midi;0;-20;20;45;1
/main/monitor1/eq4b/Band3_on;midi;0;0;1;46;1
/main/monitor1/eq4b/Band3_freq;midi;1000;100;10000;47;1
/main/monitor1/eq4b/Band3_width;midi;1;0.125;8;48;1
/main/monitor1/eq4b/Band3_gain;midi;0;-20;20;49;1
/main/monitor1/eq4b/Band4_on;midi;0;0;1;50;1
/main/monitor1/eq4b/Band4_freq;midi;2000;200;20000;51;1
/main/monitor1/eq4b/Band4_width;midi;1;0.125;8;52;1
/main/monitor1/eq4b/Band4_gain;midi;0;-20;20;53;1
/main/monitor1/panvol/pan;midi;50;0;100;55;1
/main/monitor1/panvol/volume_db;midi;-6;-60;6;56;1
/main/monitor1/hpf/frequency;midi;60;20;200;35;1
/main/monitor1/lpf/frequency;midi;23999;8000;23999;54;1
/main/player_1/mute;ecs;0;0;1
/main/player_1/solo;ecs;0;0;1
