path,value,min,max,CC,channel
/mixer/inputs/mic_diane/panvol/pan,50,0,100,1,1
/mixer/inputs/mic_diane/panvol/volume_db,0,-100,6,2,1
/mixer/inputs/guitar/panvol/pan,50,0,100,3,1
/mixer/inputs/guitar/panvol/volume_db,0,-100,6,4,1
/mixer/outputs/foh_mix/from/mic_diane/panvol/pan,50,0,100,5,1
/mixer/outputs/foh_mix/from/mic_diane/panvol/volume_db,0,-100,6,6,1
/mixer/outputs/foh_mix/from/guitar/panvol/pan,50,0,100,7,1
/mixer/outputs/foh_mix/from/guitar/panvol/volume_db,0,-100,6,8,1
/mixer/outputs/ear/from/mic_diane/panvol/pan,50,0,100,9,1
/mixer/outputs/ear/from/mic_diane/panvol/volume_db,0,-100,6,10,1
/mixer/outputs/ear/from/guitar/panvol/pan,50,0,100,11,1
/mixer/outputs/ear/from/guitar/panvol/volume_db,0,-100,6,12,1
/mixer/outputs/foh_mix/panvol/pan,50,0,100,13,1
/mixer/outputs/foh_mix/panvol/volume_db,0,-100,6,14,1
/mixer/outputs/ear/panvol/pan,50,0,100,15,1
/mixer/outputs/ear/panvol/volume_db,0,-100,6,16,1
